,url,author
0,BALZAK/,Оноре де Бальзак
1,BANDELLO/,Банделло
2,BEDIE/,Жозеф Бедье
3,BEKFORD/,Уильям Бекфорд
4,BENXQN/,Джон Беньян
5,BEME/,Якоб Беме
6,BOKKACHO/,Джованни Боккаччо
7,BRONTE/,Шарлотта Бронте
8,BRONTE_E/,Эмилия Бронте
9,MIKELANDZHELO/,Микеланджело Буанарроти
10,WONDEL_J/,Йост Ван Ден Вондел
11,WORDSWORD_W/,Уильям Вордсворт
12,WOLTER/,Вольтер
13,GARDENBERG/,Фридрих фон Гарденберг (Новалис)
14,GLAS/,Бертрам Глас
15,GOTIE/,Теофиль Готье
16,../GOFMAN/,Теодор Гофман
17,GUGO/,Виктор Гюго
18,GUISMANS/,Жорис-Карл Гюисманс
19,DELONE/,Томас Делонэ
20,../PRIKL/DEFO/,Даниэль Дефо
21,DIDRO/,Дени Дидро
22,DODE/,Альфонс Доде
23,DONN/,Джон Донн
24,DUMA/,Александр Дюма
25,KAZANOWA/,Джакомо Казанова
26,KAZOT/,Жак Казот
27,KAMOENS/,Луиш де Камоэнс
28,KAMPANELLA/,Кампанелла
29,KEWEDO/,Франциско де Кеведо
30,../INPROZ/KWINSI/,Томас де Квинси
31,KONSTAN/,Бенжамен Констан
32,KORBER_T/,Тристан Корбьер
33,KRO_S/,Шарль Кро
34,LABE/,Луиза Лабе
35,DELAKLO/,Шодерло де Лакло
36,LAROSHFUKO/,Франсуа де Ларошфуко
37,LESSAZH/,Ален Рене Лесаж
38,LOTREAMON/,Лотреамон
39,MAKDONALD/,Джордж Макдоналд
40,MAKFERSON/,Джеймс Макферсон
41,MASHO/,Гильом де Машо
42,METURIN/,Чарлз Метьюрин
43,MONTESK/,Шарль Луи Монтескье
44,MOR/,Томас Мор
45,MELORY/,Томас Мэлори
46,NOSTRADAMUS/,Мишель Нострадамус
47,TIK/,Людвиг Тик
48,NODIE/,Шарль Нодье
49,NUWO_J/,Жермен Нуво
50,NESH/,Томас Нэш
51,OKKAM/,Уильям Оккам
52,OSTEN/,Джейн Остен
53,PETEFI/,Шандор Петефи
54,PIKOK/,Томас Лав Пикок
55,POLIDORI/,Джон Уильям Полидори
56,PREWO/,Антуан Прево
57,../RABLE/,Франсуа Рабле
58,RICHARDSON/,Сэмюль Ричардсон
59,DESAD/,маркиз де Сад
60,SAKS/,Ганс Сакс
61,SAND/,Жорж Санд
62,SWIFT/,Джонатан Свифт
63,SERVANTES/,Мигель де Сервантес Сааведра
64,SIDNI/,Филип Сидни
65,STENDAL/,Стендаль
66,STERN/,Лоренс Стерн
67,EGIL/,Снорри Стурлусон
68,TOBAJS/,Смоллет Тобайас
69,DETRUA/,Кретьен де Труа
70,UOPOL/,Гораций Уолпол
71,FARKER_J/,Джордж Фаркер
72,FILDING/,Генри Фильдинг
73,GILCPARCER/,Франц Грильпарцер
74,FILDING/,Генри Филдинг
75,FRANS/,Анатоль Франс
76,CHINTIO/,Джиральди Чинтио
77,SHATOBRIAN/,Рене Шатобриан
78,ESHENBAH/,Вольфрам фон Эшенбах
79,UM/,Девид Юм
80,RUSH/,Фраер Руш
81,ENGLAND/,"Англия, исторические тексты"
82,WORLD/,Старинная литература (неизвестные авторы)
83,../MIFS/,Мифы разных народов
84,ALARKON/,Хуан Руис Де Аларкон
85,ALFERI/,Витторио Альфьери
86,../BOMARSHE/,Пьер де Бомарше
87,BOMONT/,"Франсис Бомонт, Джон Флетчер"
88,../DEVEGA/,Лопе де Вега
89,GOCCI/,Карло Гоцци
90,DZHAKOMETTY/,Паоло Джаккометти
91,DZHONSON/,Бен Джонсон
92,ZHIRODU/,Жан Жироду
93,KONGRIW/,Уильям Конгрив
94,KORNEL/,Пьер Корнель
95,LESSING/,Готхольд-Эфраим Лессинг
96,MARLO/,Кристофер Марло
97,MERIME/,Проспер Мериме hid)
98,http://az.lib.ru/m/merime_p/,Проспер Мериме
99,MIDLTON/,Томас Мидлтон
100,MOLINA/,Тирсо де Молина
101,http://az.lib.ru/m/molxer_z/,Жан-Батист Мольер
102,MORETO/,Агустин Морето
103,RASIN/,Жан Расин
104,ROSTAN/,Эдмонд Ростан
105,TERNER/,Сирил Тернер
106,FUKE/,Фридрих Де Ла Мотт Фуке
107,FORD/,Джон Форд
108,SHERIDAN/,Ричард Шеридан
109,SHERLI/,Джеймс Шерли
110,WEBSTER/,Джон Уэбстер
