,url,author
0,../INPROZ/,Переводная проза
1,http://az.lib.ru,Русская классика
2,../PROZA/,Современная русская проза
3,../NEWPROZA/,Русская проза 90-х годов
4,http://lit.lib.ru,Русская проза 2000-х годов
5,AWERCHENKO/,Аверченко Аркадий
6,AWILOWA/,Авилова Лидия
7,../AGEEV/,Агеев Михаил
8,http://az.lib.ru/a/aldanow_m_a/,Алданов Марк
9,http://az.lib.ru/a/alekseew_g_w/,Алексеев Глеб
10,http://az.lib.ru/a/andreew_l_n/,Андреев Леонид
11,ARHANGELSKY/,Архангельский Александр
12,http://az.lib.ru/a/arcybashew_m_p/,Арцыбашев Михаил
13,../PROZA/BABEL/,Бабель Исаак
14,../PXESY/BAHTEREW/,Бахтерев Игорь
15,http://az.lib.ru/b/belyh_g_g/,Белых Григорий
16,../BULGAKOW/,Булгаков Михаил
17,http://az.lib.ru/b/bunin_i_a/,Бунин Иван
18,BUHOW_A/,Бухов Аркадий
19,http://az.lib.ru/w/waginow_k_k/,Вагинов Константин
20,http://az.lib.ru/w/weresaew_w_w/,Вересаев Викентий
21,../WESELYJ/,Веселый Артем
22,http://az.lib.ru/w/winogradow_a_k/,Виноградов Анатолий
23,http://az.lib.ru/w/woloshin_m_a/,Волошин Максимилиан
24,../GOLIKOW/,Гайдар Аркадий
25,GARIN/,Гарин-Михайловский Николай
26,http://az.lib.ru/g/gashek_j/,Гашек Ярослав
27,GILQROWSKIJ/,Гиляровский Владимир
28,http://az.lib.ru/g/gnedich_p_p/,Гнедич Петр
29,http://az.lib.ru/g/gorxkij_m/,Горький Максим
30,http://az.lib.ru/g/grigorxew_s_t/,Григорьев Сергей
31,GRIN/,Грин Александр
32,GUL/,Гуль Роман
33,../GUMILEW/,Гумилев Николай
34,http://az.lib.ru/d/dobychin_l_i/,Добычин Леонид
35,DOROSHEWICH/,Дорошевич Влас
36,http://az.lib.ru/d/dzhiwelegow_a_k/,Дживелегов Алексей
37,ZHABOTINSKIJ/,Жаботинский Зеев
38,http://az.lib.ru/z/zhitkow_b_s/,Житков Борис
39,ZAZUBRIN/,Зазубрин Владимир
40,ZAJCEW/,Зайцев Борис
41,http://az.lib.ru/z/zamjatin_e_i/,Замятин Евгений
42,ZOSHENKO/,Зощенко Михаил
43,../IWANOWWS/,Иванов Всеволод
44,IWANOWG/,Иванов Георгий
45,http://az.lib.ru/w/wjacheslaw_i_i/,Иванов Вячеслав
46,http://az.lib.ru/i/ignatxew_a_a/,Игнатьев Алексей Алексеевич
47,KIN_W/,Кин Виктор
48,http://az.lib.ru/k/korolenko_w_g/,Короленко Владимир
49,http://az.lib.ru/k/kr_k_k/,К.Р.(Константин Романов)
50,LAWRENEW/,Лавренев Борис
51,../LEONOWL/,Леонов Леонид
52,LUNC_L/,Лунц Лев
53,MARIENGOF/,Мариенгоф Анатолий
54,http://az.lib.ru/m/majakowskij_w_w/,Маяковский Владимир
55,MEREZHKOWSKIJ/,Мережковский Дмитрий
56,http://az.lib.ru/m/morozow_m_m/,Морозов Михаил Михайлович
57,http://az.lib.ru/o/ognew_n/,Огнев Николай
58,http://az.lib.ru/o/osorgin_m_a/,Осоргин Михаил
59,OSTROWSKIJ/,Островский Николай
60,http://az.lib.ru/n/newerow_a_s/,Неверов Александр
61,NOWIKOW_I_A/,Новиков Иван
62,PANTELEEW/,Пантелеев Алексей; Белых Григорий
63,../PROZA/REMIZOW/,Ремизов А.
64,http://az.lib.ru/r/romanow_p_s/,Романов Пантелеймон
65,http://az.lib.ru/s/sawinkow_b_w/,Савинков Борис
66,SWIRSKIJ_A/,Свирский Алексей
67,http://az.lib.ru/s/semenow_s_a/,Семенов Сергей
68,SERAFIMOWICH/,Серафимович Александр
69,CENSKIJ/,Сергеев-Ценский Сергей
70,http://az.lib.ru/s/sipowskij_w_w/,Сиповский Василий
71,SKALDIN/,Скалдин Алексей
72,http://az.lib.ru/s/skitalec/,Скиталец
73,http://az.lib.ru/s/slezkin_j_l/,Слезкин Юрий
74,SOBOLEW/,Соболев Леонид
75,http://az.lib.ru/s/sologub_f/,Сологуб Федор
76,STANYUKOWICH/,Станюкович Константин
77,http://az.lib.ru/t/tanbogoraz_w_g/,Тан-Богораз Владимир
78,http://az.lib.ru/t/tolstoj_a_n/,Толстой Алексей
79,http://az.lib.ru/t/tynjanow_j_n/,Тынянов Юрий
80,TEFFI/,Тэффи
81,FADEEW/,Фадеев Александр
82,FEDOROWA_N/,Федорова Нина
83,FURMANOW/,Фурманов Дмитрий
84,../HARMS/,Хармс Даниил
85,http://az.lib.ru/h/hodasewich_w_f/,Ходасевич Владислав
86,http://az.lib.ru/c/charskaja_l_a/,Чарская Лидия Алексеевна
87,http://az.lib.ru/c/chajanow_a_w/,Чаянов Александр
88,http://az.lib.ru/c/chernow_w_m/,Чернов Виктор Михайлович
89,http://az.lib.ru/c/chernyj_s/,Черный Саша
90,http://az.lib.ru/c/chulkow_g_i/,Чулков Георгий
91,../SHAGINQN/,Шагинян Мариэтта
92,SHILIN_G/,Шилин Георгий
93,SMELEW/,Шмелев Иван
94,http://www.russianresources.lt/archive/,Балтийский архив
