,url,author
0,http://lib.ru/INOOLD/BALZAK/,Оноре де Бальзак
1,http://lib.ru/INOOLD/BANDELLO/,Банделло
2,http://lib.ru/INOOLD/BEDIE/,Жозеф Бедье
3,http://lib.ru/INOOLD/BEKFORD/,Уильям Бекфорд
4,http://lib.ru/INOOLD/BENXQN/,Джон Беньян
5,http://lib.ru/INOOLD/BEME/,Якоб Беме
6,http://lib.ru/INOOLD/BOKKACHO/,Джованни Боккаччо
7,http://lib.ru/INOOLD/BRONTE/,Шарлотта Бронте
8,http://lib.ru/INOOLD/BRONTE_E/,Эмилия Бронте
9,http://lib.ru/INOOLD/MIKELANDZHELO/,Микеланджело Буанарроти
10,http://lib.ru/INOOLD/WONDEL_J/,Йост Ван Ден Вондел
11,http://lib.ru/INOOLD/WORDSWORD_W/,Уильям Вордсворт
12,http://lib.ru/INOOLD/WOLTER/,Вольтер
13,http://lib.ru/INOOLD/GARDENBERG/,Фридрих фон Гарденберг (Новалис)
14,http://lib.ru/INOOLD/GLAS/,Бертрам Глас
15,http://lib.ru/INOOLD/GOTIE/,Теофиль Готье
16,http://lib.ru/INOOLD/../GOFMAN/,Теодор Гофман
17,http://lib.ru/INOOLD/GUGO/,Виктор Гюго
18,http://lib.ru/INOOLD/GUISMANS/,Жорис-Карл Гюисманс
19,http://lib.ru/INOOLD/DELONE/,Томас Делонэ
20,http://lib.ru/INOOLD/../PRIKL/DEFO/,Даниэль Дефо
21,http://lib.ru/INOOLD/DIDRO/,Дени Дидро
22,http://lib.ru/INOOLD/DODE/,Альфонс Доде
23,http://lib.ru/INOOLD/DONN/,Джон Донн
24,http://lib.ru/INOOLD/DUMA/,Александр Дюма
25,http://lib.ru/INOOLD/KAZANOWA/,Джакомо Казанова
26,http://lib.ru/INOOLD/KAZOT/,Жак Казот
27,http://lib.ru/INOOLD/KAMOENS/,Луиш де Камоэнс
28,http://lib.ru/INOOLD/KAMPANELLA/,Кампанелла
29,http://lib.ru/INOOLD/KEWEDO/,Франциско де Кеведо
30,http://lib.ru/INOOLD/../INPROZ/KWINSI/,Томас де Квинси
31,http://lib.ru/INOOLD/KONSTAN/,Бенжамен Констан
32,http://lib.ru/INOOLD/KORBER_T/,Тристан Корбьер
33,http://lib.ru/INOOLD/KRO_S/,Шарль Кро
34,http://lib.ru/INOOLD/LABE/,Луиза Лабе
35,http://lib.ru/INOOLD/DELAKLO/,Шодерло де Лакло
36,http://lib.ru/INOOLD/LAROSHFUKO/,Франсуа де Ларошфуко
37,http://lib.ru/INOOLD/LESSAZH/,Ален Рене Лесаж
38,http://lib.ru/INOOLD/LOTREAMON/,Лотреамон
39,http://lib.ru/INOOLD/MAKDONALD/,Джордж Макдоналд
40,http://lib.ru/INOOLD/MAKFERSON/,Джеймс Макферсон
41,http://lib.ru/INOOLD/MASHO/,Гильом де Машо
42,http://lib.ru/INOOLD/METURIN/,Чарлз Метьюрин
43,http://lib.ru/INOOLD/MONTESK/,Шарль Луи Монтескье
44,http://lib.ru/INOOLD/MOR/,Томас Мор
45,http://lib.ru/INOOLD/MELORY/,Томас Мэлори
46,http://lib.ru/INOOLD/NOSTRADAMUS/,Мишель Нострадамус
47,http://lib.ru/INOOLD/TIK/,Людвиг Тик
48,http://lib.ru/INOOLD/NODIE/,Шарль Нодье
49,http://lib.ru/INOOLD/NUWO_J/,Жермен Нуво
50,http://lib.ru/INOOLD/NESH/,Томас Нэш
51,http://lib.ru/INOOLD/OKKAM/,Уильям Оккам
52,http://lib.ru/INOOLD/OSTEN/,Джейн Остен
53,http://lib.ru/INOOLD/PETEFI/,Шандор Петефи
54,http://lib.ru/INOOLD/PIKOK/,Томас Лав Пикок
55,http://lib.ru/INOOLD/POLIDORI/,Джон Уильям Полидори
56,http://lib.ru/INOOLD/PREWO/,Антуан Прево
57,http://lib.ru/INOOLD/../RABLE/,Франсуа Рабле
58,http://lib.ru/INOOLD/RICHARDSON/,Сэмюль Ричардсон
59,http://lib.ru/INOOLD/DESAD/,маркиз де Сад
60,http://lib.ru/INOOLD/SAKS/,Ганс Сакс
61,http://lib.ru/INOOLD/SAND/,Жорж Санд
62,http://lib.ru/INOOLD/SWIFT/,Джонатан Свифт
63,http://lib.ru/INOOLD/SERVANTES/,Мигель де Сервантес Сааведра
64,http://lib.ru/INOOLD/SIDNI/,Филип Сидни
65,http://lib.ru/INOOLD/STENDAL/,Стендаль
66,http://lib.ru/INOOLD/STERN/,Лоренс Стерн
67,http://lib.ru/INOOLD/EGIL/,Снорри Стурлусон
68,http://lib.ru/INOOLD/TOBAJS/,Смоллет Тобайас
69,http://lib.ru/INOOLD/DETRUA/,Кретьен де Труа
70,http://lib.ru/INOOLD/UOPOL/,Гораций Уолпол
71,http://lib.ru/INOOLD/FARKER_J/,Джордж Фаркер
72,http://lib.ru/INOOLD/FILDING/,Генри Фильдинг
73,http://lib.ru/INOOLD/GILCPARCER/,Франц Грильпарцер
74,http://lib.ru/INOOLD/FILDING/,Генри Филдинг
75,http://lib.ru/INOOLD/FRANS/,Анатоль Франс
76,http://lib.ru/INOOLD/CHINTIO/,Джиральди Чинтио
77,http://lib.ru/INOOLD/SHATOBRIAN/,Рене Шатобриан
78,http://lib.ru/INOOLD/ESHENBAH/,Вольфрам фон Эшенбах
79,http://lib.ru/INOOLD/UM/,Девид Юм
80,http://lib.ru/INOOLD/RUSH/,Фраер Руш
81,http://lib.ru/INOOLD/ENGLAND/,"Англия, исторические тексты"
82,http://lib.ru/INOOLD/WORLD/,Старинная литература (неизвестные авторы)
83,http://lib.ru/INOOLD/../MIFS/,Мифы разных народов
84,http://lib.ru/INOOLD/ALARKON/,Хуан Руис Де Аларкон
85,http://lib.ru/INOOLD/ALFERI/,Витторио Альфьери
86,http://lib.ru/INOOLD/../BOMARSHE/,Пьер де Бомарше
87,http://lib.ru/INOOLD/BOMONT/,"Франсис Бомонт, Джон Флетчер"
88,http://lib.ru/INOOLD/../DEVEGA/,Лопе де Вега
89,http://lib.ru/INOOLD/GOCCI/,Карло Гоцци
90,http://lib.ru/INOOLD/DZHAKOMETTY/,Паоло Джаккометти
91,http://lib.ru/INOOLD/DZHONSON/,Бен Джонсон
92,http://lib.ru/INOOLD/ZHIRODU/,Жан Жироду
93,http://lib.ru/INOOLD/KONGRIW/,Уильям Конгрив
94,http://lib.ru/INOOLD/KORNEL/,Пьер Корнель
95,http://lib.ru/INOOLD/LESSING/,Готхольд-Эфраим Лессинг
96,http://lib.ru/INOOLD/MARLO/,Кристофер Марло
97,http://lib.ru/INOOLD/MERIME/,Проспер Мериме hid)
98,http://lib.ru/INOOLD/http://az.lib.ru/m/merime_p/,Проспер Мериме
99,http://lib.ru/INOOLD/MIDLTON/,Томас Мидлтон
100,http://lib.ru/INOOLD/MOLINA/,Тирсо де Молина
101,http://lib.ru/INOOLD/http://az.lib.ru/m/molxer_z/,Жан-Батист Мольер
102,http://lib.ru/INOOLD/MORETO/,Агустин Морето
103,http://lib.ru/INOOLD/RASIN/,Жан Расин
104,http://lib.ru/INOOLD/ROSTAN/,Эдмонд Ростан
105,http://lib.ru/INOOLD/TERNER/,Сирил Тернер
106,http://lib.ru/INOOLD/FUKE/,Фридрих Де Ла Мотт Фуке
107,http://lib.ru/INOOLD/FORD/,Джон Форд
108,http://lib.ru/INOOLD/SHERIDAN/,Ричард Шеридан
109,http://lib.ru/INOOLD/SHERLI/,Джеймс Шерли
110,http://lib.ru/INOOLD/WEBSTER/,Джон Уэбстер
111,http://lib.ru/INPROZ/KOBO/,Абэ Кобо
112,http://lib.ru/INPROZ/AGNON/,Агнон Шмуэль
113,http://lib.ru/INPROZ/ADAMS_G/,Адамс Генри
114,http://lib.ru/INPROZ/AZHAR_E/,Ажар Эмиль
115,http://lib.ru/INPROZ/../INOFANT/RUNOSKE/,Акутагава Рюноскэ
116,http://lib.ru/INPROZ/ALLEN/,Аллен Грант
117,http://lib.ru/INPROZ/AMADU/,Амаду Жоржи
118,http://lib.ru/INPROZ/ANDAHAZI/,Андахази Фредерико
119,http://lib.ru/INPROZ/ANDERSON_S/,Андерсон Шервуд
120,http://lib.ru/INPROZ/APDAJK/,Апдайк Джон
121,http://lib.ru/INPROZ/ARREOLA_H/,Арреола Хуан
122,http://lib.ru/INPROZ/ASTURIAS/,Астуриас Мигель
123,http://lib.ru/INPROZ/BAZEN/,Базен Эрве
124,http://lib.ru/INPROZ/BAKLI/,Бакли Кристофер
125,http://lib.ru/INPROZ/BAMBAREN/,Бамбарен Серджио
126,http://lib.ru/INPROZ/BARBUS/,Барбюс Анри
127,http://lib.ru/INPROZ/BARIKKO/,Барикко Алессандро
128,http://lib.ru/INPROZ/BARNS/,Барнс Джулиан
129,http://lib.ru/INPROZ/BARSTOU/,Барстоу Стэн
130,http://lib.ru/INPROZ/BART_D/,Барт Джон
131,http://lib.ru/INPROZ/BARTELM/,Бартельм Дональд
132,http://lib.ru/INPROZ/../RBACH/,Бах Ричард
133,http://lib.ru/INPROZ/BEGBEDER/,Бегбедер Фредерик
134,http://lib.ru/INPROZ/BEJTS/,Бейтс Г.
135,http://lib.ru/INPROZ/BELL/,Белль Генрих
136,http://lib.ru/INPROZ/BELLOU/,Беллоу Сол
137,http://lib.ru/INPROZ/BENAKWISTA/,Бенаквиста Тонино
138,http://lib.ru/INPROZ/BERGENRUGER/,Бергенгрюен Вернер
139,http://lib.ru/INPROZ/BERGMAN_I/,Бергман Ингмар
140,http://lib.ru/INPROZ/BERDZHES/,Берджесс Энтони
141,http://lib.ru/INPROZ/BARNETT_F/,Бернет Френсис
142,http://lib.ru/INPROZ/BERNHAJM_E/,Бернхайм Эммаунуэль
143,http://lib.ru/INPROZ/BERNHARD/,Бернхард Томас
144,http://lib.ru/INPROZ/BERROUZ/,Берроуз Вильям
145,http://lib.ru/INPROZ/BERROUZ_R/,Берроуз Эдгар Райс
