,http://www.lib.ru/INOOLD/DUMA/,book,author
0,tri.txt,Три мушкетера,Александр Дюма
1,trifr.txt,Les trois mousquetaires,Александр Дюма
2,dwadcat_let.txt,Двадцать лет спустя,Александр Дюма
3,sharni.txt,Графиня де Шарни (часть 2),Александр Дюма
4,sharni3.txt,Графиня де Шарни (часть 3),Александр Дюма
5,tulipani.txt,Черный Тюльпан,Александр Дюма
6,45.txt,Сорок пять,Александр Дюма
7,dvediany.txt,Две Дианы,Александр Дюма
8,montekristo1.txt,Граф Монте-Кристо (Части 1-3),Александр Дюма
9,montekristo2.txt,Граф Монте-Кристо (Части 4-6),Александр Дюма
10,izabella.txt,Изабелла Баварская,Александр Дюма
11,cappol.txt,Капитан Поль,Александр Дюма
12,kukabr.txt,Кучер кабриолета,Александр Дюма
13,maskarad.txt,Маскарад,Александр Дюма
14,pasbruno.txt,Паскаль Бруно,Александр Дюма
15,tysiopr.txt,Тысяча и один призрак,Александр Дюма
16,vodyeksa.txt,Воды Экса,Александр Дюма
17,skazki.txt,Сказки,Александр Дюма
18,http://www.informika.ru/koi8/books/gutenb/gutind/TEMP/dumas_alexandre_.html,Alexandre Dumas: etexts in english,Александр Дюма
