url,book,author
http://lib.ru/TALES/SERGEEW/galosha.txt,волшебнаягалоша,марксергеевволшебнаягалоша
http://lib.ru/RUFANT/VALENTINOV_AL/broke_chain.txt,разорватьцепь,валентиновальберт
http://lib.ru/RUFANT/VALENTINOV_AL/planeta.txt,заколдованнаяпланета,валентиновальберт
http://lib.ru/PROZA/BEDNYJ_B/girls.txt,девчата,бедныйборис
http://lib.ru/INOFANT/KASSATT/adventures.txt,новыеприключениянадругихпланетах,кассаттмайкл
http://lib.ru/NEWPROZA/ROMANCHUK/r_r1.txt,краткиемифы,романчуклюбовь
http://lib.ru/NEWPROZA/ROMANCHUK/r_r2.txt,магическиечисла,романчуклюбовь
http://lib.ru/POEEAST/FEOKRIT/feokrit.txt,стихотворения,феокрит
http://lib.ru/POEEAST/FEOKRIT/feokrit1_1.txt,идиллииотрывкипермеграбарьпассек,феокрит
http://lib.ru/INPROZ/FALLACHI/gordost.txt,яростьигордость,фаллачиориана
http://lib.ru/INPROZ/OUTS/lipen.txt,залицяннялипень,оутсджойскерол
http://lib.ru/INPROZ/OUTS/woda.txt,чернаявода,оутсджойскерол
http://lib.ru/INOFANT/SLOZAR/12-30.txt,деньэкзамена,слизаргенри
http://lib.ru/INOFANT/SLOZAR/2b-18.txt,парадпобеды,слизаргенри
http://lib.ru/INOFANT/SLOZAR/r_mansarda.txt,вопльизмансарды,слизаргенри
http://lib.ru/RUFANT/GRIGORIEV_V/year1919.txt,образцаго,григорьеввладимир
http://lib.ru/RUFANT/GRIGORIEV_V/46-03.txt,рогизобилия,григорьеввладимир
http://lib.ru/RUFANT/GRIGORIEV_V/46-04.txt,ногинакоторыхстоитчеловек,григорьеввладимир
http://lib.ru/RUFANT/GRIGORIEV_V/46-05.txt,школавремени,григорьеввладимир
http://lib.ru/RUFANT/GRIGORIEV_V/46-06.txt,дваждыдвастарикаробота,григорьеввладимир
http://lib.ru/RUFANT/GRIGORIEV_V/46-07.txt,амоглабыибыть,григорьеввладимир
http://lib.ru/RUFANT/GRIGORIEV_V/46-08.txt,реконструкция,григорьеввладимир
http://lib.ru/RUFANT/GRIGORIEV_V/46-09.txt,коллегаяназвалеготак,григорьеввладимир
http://lib.ru/RUFANT/GRIGORIEV_V/46-10.txt,своидорогиксолнцу,григорьеввладимир
http://lib.ru/RUFANT/GRIGORIEV_V/46-11.txt,позаконамнеточныхнаук,григорьеввладимир
http://lib.ru/RUFANT/GRIGORIEV_V/46-12.txt,транзисторархимеда,григорьеввладимир
http://lib.ru/RUFANT/GRIGORIEV_V/46-13.txt,аксиомыволшебнойпалочки,григорьеввладимир
http://lib.ru/RUFANT/GRIGORIEV_V/46-14.txt,сервисмаксимумтакаяпрограмма,григорьеввладимир
http://lib.ru/RUFANT/GRIGORIEV_V/46-15.txt,надбристаньюнадбристаньюгорятметеориты,григорьеввладимир
http://lib.ru/RUFANT/GRIGORIEV_V/46-16.txt,вложеноприрождении,григорьеввладимир
http://lib.ru/RUFANT/LOMM/drion.txt,дрионпокидаетземлю,ломмалександр
