,url,book,author
0,http://lib.ru/INPROZ/../ORWELL/animalfarm.txt,Скотный двор (пер.И.Полоцк),Оруэлл Джордж
1,http://lib.ru/INPROZ/../ORWELL/zferma.txt,Зверская ферма (пер.В.Прибыловский),Оруэлл Джордж
2,http://lib.ru/INPROZ/../ORWELL/animalfarm2.txt,Скотский уголок(пер.С.Таск),Оруэлл Джордж
3,http://lib.ru/INPROZ/../ORWELL/1984_estonian.txt,1984 (на эстонском),Оруэлл Джордж
4,http://lib.ru/INPROZ/../ORWELL/Spain1.txt,Вспоминая войну в Испании,Оруэлл Джордж
5,http://lib.ru/INPROZ/../ORWELL/Spain2.txt,Памяти Каталонии (главы из книги),Оруэлл Джордж
6,http://lib.ru/INPROZ/../ORWELL/elefant.txt,Как я стрелял в слона,Оруэлл Джордж
7,http://lib.ru/INPROZ/../ORWELL/kaznx.txt,Казнь через повешение,Оруэлл Джордж
8,http://lib.ru/INPROZ/../ORWELL/polityk.txt,Политика и английский язык. 1946 г.,Оруэлл Джордж
9,http://lib.ru/INPROZ/../ORWELL/../INPROZ/DALOSH/1985.txt,Дьердь Далош. 1985,Оруэлл Джордж
10,http://lib.ru/INPROZ/../ORWELL/http://orwell.ru/,The BiggEST site about George Orwell (maintaned by O.Dag),Оруэлл Джордж
11,http://lib.ru/INPROZ/../ORWELL/http://www.premier.net/~slash/orwell/index.html,Orwell Reader at premier.net,Оруэлл Джордж
12,http://lib.ru/INPROZ/../ORWELL/orwell.txt,Copy of Orwell Reader main page,Оруэлл Джордж
13,http://lib.ru/INPROZ/../ORWELL/http://etext.lib.virginia.edu,UVa Electronic Text Center,Оруэлл Джордж
14,http://lib.ru/INPROZ/../ORWELL/http://www.hot.ee/utkasmerti/Politika.htm,"Оруэлл об Испании в Библиотека ""Sensational News (by Utkasmerti)""",Оруэлл Джордж
15,http://lib.ru/INPROZ/../ORWELL/http://www.cl.ut.ee/en/1984/,1984 (Estonian translation),Оруэлл Джордж
