,url,book,author
0,http://lib.ru/RUSSLIT/PANTELEEW/respublikashkid.txt,"Григорий Белых, Алексей Пантелеев. Республика ШКИД",Пантелеев Алексей; Белых Григорий
1,http://lib.ru/RUSSLIT/PANTELEEW/lionka.txt,Ленька Пантелеев,Пантелеев Алексей; Белых Григорий
2,http://lib.ru/RUSSLIT/PANTELEEW/masha.txt,Наша Маша. Книга для родителей,Пантелеев Алексей; Белых Григорий
3,http://lib.ru/RUSSLIT/PANTELEEW/r_haldei.txt,Последние халдеи,Пантелеев Алексей; Белых Григорий
4,http://lib.ru/RUSSLIT/PANTELEEW/r_magnolii.txt,Магнолии,Пантелеев Алексей; Белых Григорий
5,http://lib.ru/RUSSLIT/PANTELEEW/r_berety.txt,Зеленые береты,Пантелеев Алексей; Белых Григорий
6,http://lib.ru/RUSSLIT/PANTELEEW/r_paket.txt,Пакет,Пантелеев Алексей; Белых Григорий
7,http://lib.ru/RUSSLIT/PANTELEEW/r_kirov.txt,Рассказы о Кирове,Пантелеев Алексей; Белых Григорий
8,http://lib.ru/RUSSLIT/PANTELEEW/r_podvig.txt,Первый подвиг,Пантелеев Алексей; Белых Григорий
9,http://lib.ru/RUSSLIT/PANTELEEW/r_prikaz.txt,Приказ по дивизии,Пантелеев Алексей; Белых Григорий
10,http://lib.ru/RUSSLIT/PANTELEEW/r_ryadovoj.txt,Гвардии рядовой,Пантелеев Алексей; Белых Григорий
11,http://lib.ru/RUSSLIT/PANTELEEW/r_tundra.txt,В тундре,Пантелеев Алексей; Белых Григорий
12,http://lib.ru/RUSSLIT/PANTELEEW/r_karfoc.txt,Карлушкин фокус,Пантелеев Алексей; Белых Григорий
13,http://lib.ru/RUSSLIT/PANTELEEW/r_portret.txt,Портрет,Пантелеев Алексей; Белых Григорий
14,http://lib.ru/RUSSLIT/PANTELEEW/r_chasy.txt,Часы,Пантелеев Алексей; Белых Григорий
15,http://lib.ru/RUSSLIT/PANTELEEW/r_lopatka.txt,Лопатка,Пантелеев Алексей; Белых Григорий
16,http://lib.ru/RUSSLIT/PANTELEEW/r_dacha.txt,Собственная дача,Пантелеев Алексей; Белых Григорий
17,http://lib.ru/RUSSLIT/PANTELEEW/r_stomarok.txt,Сто почтовых марок,Пантелеев Алексей; Белых Григорий
18,http://lib.ru/RUSSLIT/PANTELEEW/r_malof.txt,Маленький офицер,Пантелеев Алексей; Белых Григорий
19,http://lib.ru/RUSSLIT/PANTELEEW/r_beltom.txt,Рассказы о Белочке и Тамарочке,Пантелеев Алексей; Белых Григорий
20,http://lib.ru/RUSSLIT/PANTELEEW/r_aples.txt,Задача с яблоками,Пантелеев Алексей; Белых Григорий
21,http://lib.ru/RUSSLIT/PANTELEEW/r_fenka.txt,Фенька,Пантелеев Алексей; Белых Григорий
22,http://lib.ru/RUSSLIT/PANTELEEW/r_karuseli.txt,Карусели,Пантелеев Алексей; Белых Григорий
23,http://lib.ru/RUSSLIT/PANTELEEW/r_porosen.txt,Как поросенок говорить научился,Пантелеев Алексей; Белых Григорий
24,http://lib.ru/RUSSLIT/PANTELEEW/r_raskidaj.txt,Раскидай,Пантелеев Алексей; Белых Григорий
25,http://lib.ru/RUSSLIT/PANTELEEW/r_svinka.txt,Свинка,Пантелеев Алексей; Белых Григорий
