,Unnamed: 0,url,book,author
0,0,http://lib.ru/TALES/SERGEEW/galosha.txt,Волшебная галоша,Марк Сергеев. Волшебная галоша
0,0,http://lib.ru/RUFANT/VALENTINOV_AL/broke_chain.txt,Разорвать цепь...,Валентинов Альберт
1,1,http://lib.ru/RUFANT/VALENTINOV_AL/planeta.txt,Заколдованная планета,Валентинов Альберт
0,0,http://lib.ru/PROZA/BEDNYJ_B/girls.txt,Девчата,Бедный Борис
0,0,http://lib.ru/INOFANT/KASSATT/adventures.txt,Новые приключения на других планетах,"Кассатт, Майкл"
0,0,http://lib.ru/NEWPROZA/ROMANCHUK/r_r1.txt,Краткие мифы,Романчук Любовь
1,1,http://lib.ru/NEWPROZA/ROMANCHUK/r_r2.txt,Магические числа,Романчук Любовь
0,0,http://lib.ru/POEEAST/FEOKRIT/feokrit.txt,Стихотворения,Феокрит
1,1,http://lib.ru/POEEAST/FEOKRIT/feokrit1_1.txt,Идиллии (Отрывки) (Пер.М.Е.Грабарь-Пассек),Феокрит
0,0,http://lib.ru/INPROZ/FALLACHI/gordost.txt,Ярость и гордость,Фаллачи Ориана
0,0,http://lib.ru/INPROZ/OUTS/lipen.txt,"Залицяння, липень, 1953",Оутс Джойс Керол
1,1,http://lib.ru/INPROZ/OUTS/woda.txt,Черная вода,Оутс Джойс Керол
0,0,http://lib.ru/INOFANT/SLOZAR/12-30.txt,День экзамена,"Слизар, Генри"
1,1,http://lib.ru/INOFANT/SLOZAR/2b-18.txt,Парад Победы,"Слизар, Генри"
2,2,http://lib.ru/INOFANT/SLOZAR/r_mansarda.txt,Вопль из мансарды,"Слизар, Генри"
0,0,http://lib.ru/RUFANT/GRIGORIEV_V/year1919.txt,Образца 1919-го,Григорьев Владимир
1,1,http://lib.ru/RUFANT/GRIGORIEV_V/46-03.txt,Рог Изобилия,Григорьев Владимир
2,2,http://lib.ru/RUFANT/GRIGORIEV_V/46-04.txt,"Ноги, на которых стоит человек",Григорьев Владимир
3,3,http://lib.ru/RUFANT/GRIGORIEV_V/46-05.txt,Школа Времени,Григорьев Владимир
4,4,http://lib.ru/RUFANT/GRIGORIEV_V/46-06.txt,Дважды два старика робота,Григорьев Владимир
